Date;Residual;Population
08/06/2021;0.005;1459
08/06/2021;0.005;1253
08/06/2021;0.005;1270
08/06/2021;0.005;1411
08/06/2021;0.005;1883
23/06/2021;0.01;1684
23/06/2021;0.01;1044
23/06/2021;0.01;1878
23/06/2021;0.01;1918
23/06/2021;0.01;1881
08/07/2021;0.146;585
08/07/2021;0.146;704
08/07/2021;0.146;961
08/07/2021;0.146;529
08/07/2021;0.146;2018
23/07/2021;0.062;500
23/07/2021;0.062;386
23/07/2021;0.062;267
23/07/2021;0.062;1276
23/07/2021;0.062;644
06/08/2021;0.062;255
06/08/2021;0.062;286
06/08/2021;0.062;351
06/08/2021;0.062;469
06/08/2021;0.062;591
27/08/2021;0.005;172
27/08/2021;0.005;432
27/08/2021;0.005;256
27/08/2021;0.005;568
27/08/2021;0.005;312
15/09/2021;0.005;393
15/09/2021;0.005;283
15/09/2021;0.005;326
15/09/2021;0.005;377
15/09/2021;0.005;454
