Data;Trattamento;Pianta;Posizione;Popolazione
Exp1;T;P1;rametto;7
Exp1;T;P1;rametto;11
Exp1;T;P1;rametto;5
Exp1;T;P1;rametto;8
Exp1;T;P1;rametto;0
Exp1;T;P1;rametto;0
Exp1;C;P2;rametto;5
Exp1;C;P2;rametto;7
Exp1;C;P2;rametto;28
Exp1;C;P2;rametto;13
Exp1;C;P2;rametto;10
Exp1;C;P2;rametto;28
Exp1;T;P3;rametto;22
Exp1;T;P3;rametto;26
Exp1;T;P3;rametto;12
Exp1;T;P3;rametto;17
Exp1;T;P3;rametto;3
Exp1;T;P3;rametto;8
Exp1;C;P4;rametto;10
Exp1;C;P4;rametto;5
Exp1;C;P4;rametto;6
Exp1;C;P4;rametto;6
Exp1;C;P4;rametto;14
Exp1;C;P4;rametto;0
Exp1;T;P5;rametto;13
Exp1;T;P5;rametto;12
Exp1;T;P5;rametto;22
Exp1;T;P5;rametto;2
Exp1;T;P5;rametto;10
Exp1;T;P5;rametto;0
Exp1;C;P6;rametto;10
Exp1;C;P6;rametto;6
Exp1;C;P6;rametto;7
Exp1;C;P6;rametto;33
Exp1;C;P6;rametto;8
Exp1;C;P6;rametto;8
Exp1;T;P7;rametto;4
Exp1;T;P7;rametto;13
Exp1;T;P7;rametto;7
Exp1;T;P7;rametto;7
Exp1;T;P7;rametto;5
Exp1;T;P7;rametto;3
Exp1;C;P8;rametto;3
Exp1;C;P8;rametto;7
Exp1;C;P8;rametto;7
Exp1;C;P8;rametto;8
Exp1;C;P8;rametto;13
Exp1;C;P8;rametto;14
Exp1;T;P9;rametto;14
Exp1;T;P9;rametto;6
Exp1;T;P9;rametto;37
Exp1;T;P9;rametto;23
Exp1;T;P9;rametto;8
Exp1;T;P9;rametto;23
Exp1;C;P10;rametto;7
Exp1;C;P10;rametto;4
Exp1;C;P10;rametto;8
Exp1;C;P10;rametto;9
Exp1;C;P10;rametto;35
Exp1;C;P10;rametto;22
Exp2;T;P1;rametto;5
Exp2;T;P1;rametto;2
Exp2;T;P1;rametto;0
Exp2;T;P1;rametto;5
Exp2;T;P1;rametto;0
Exp2;T;P1;rametto;20
Exp2;C;P2;rametto;28
Exp2;C;P2;rametto;16
Exp2;C;P2;rametto;23
Exp2;C;P2;rametto;10
Exp2;C;P2;rametto;9
Exp2;C;P2;rametto;8
Exp2;T;P3;rametto;10
Exp2;T;P3;rametto;18
Exp2;T;P3;rametto;18
Exp2;T;P3;rametto;2
Exp2;T;P3;rametto;0
Exp2;T;P3;rametto;2
Exp2;C;P4;rametto;9
Exp2;C;P4;rametto;2
Exp2;C;P4;rametto;5
Exp2;C;P4;rametto;4
Exp2;C;P4;rametto;4
Exp2;C;P4;rametto;4
Exp2;T;P5;rametto;0
Exp2;T;P5;rametto;17
Exp2;T;P5;rametto;2
Exp2;T;P5;rametto;11
Exp2;T;P5;rametto;14
Exp2;T;P5;rametto;33
Exp2;C;P6;rametto;9
Exp2;C;P6;rametto;6
Exp2;C;P6;rametto;0
Exp2;C;P6;rametto;0
Exp2;C;P6;rametto;10
Exp2;C;P6;rametto;15
Exp2;T;P7;rametto;8
Exp2;T;P7;rametto;8
Exp2;T;P7;rametto;15
Exp2;T;P7;rametto;25
Exp2;T;P7;rametto;12
