Data;Trattamento;Posizione;Popolazione
Exp1;T;rametto;197
Exp1;T;rametto;125
Exp1;T;rametto;180
Exp1;T;rametto;275
Exp1;T;rametto;192
Exp1;T;rametto;152
Exp1;C;rametto;161
Exp1;C;rametto;38
Exp1;C;rametto;170
Exp1;C;rametto;73
Exp1;C;rametto;92
Exp1;C;rametto;178
Exp1;T;rametto;179
Exp1;T;rametto;114
Exp1;T;rametto;168
Exp1;T;rametto;201
Exp1;T;rametto;123
Exp1;T;rametto;54
Exp1;C;rametto;124
Exp1;C;rametto;133
Exp1;C;rametto;151
Exp1;C;rametto;0
Exp1;C;rametto;42
Exp1;C;rametto;15
Exp1;T;rametto;119
Exp1;T;rametto;65
Exp1;T;rametto;63
Exp1;T;rametto;143
Exp1;T;rametto;147
Exp1;T;rametto;158
Exp1;C;rametto;223
Exp1;C;rametto;175
Exp1;C;rametto;94
Exp1;C;rametto;76
Exp1;C;rametto;18
Exp1;C;rametto;40
Exp1;T;rametto;222
Exp1;T;rametto;172
Exp1;T;rametto;88
Exp1;T;rametto;122
Exp1;T;rametto;157
Exp1;T;rametto;69
Exp1;C;rametto;160
Exp1;C;rametto;145
Exp1;C;rametto;186
Exp1;C;rametto;166
Exp1;C;rametto;125
Exp1;C;rametto;124
Exp1;T;rametto;84
Exp1;T;rametto;214
Exp1;T;rametto;197
Exp1;T;rametto;199
Exp1;T;rametto;241
Exp1;T;rametto;185
Exp1;C;rametto;122
Exp1;C;rametto;150
Exp1;C;rametto;174
Exp1;C;rametto;191
Exp1;C;rametto;216
Exp1;C;rametto;146
Exp2;T;rametto;395
Exp2;T;rametto;212
Exp2;T;rametto;218
Exp2;T;rametto;260
Exp2;T;rametto;100
Exp2;T;rametto;403
Exp2;C;rametto;140
Exp2;C;rametto;226
Exp2;C;rametto;309
Exp2;C;rametto;448
Exp2;C;rametto;402
Exp2;C;rametto;8
Exp2;T;rametto;147
Exp2;T;rametto;223
Exp2;T;rametto;175
Exp2;T;rametto;126
Exp2;T;rametto;0
Exp2;T;rametto;238
Exp2;C;rametto;285
Exp2;C;rametto;94
Exp2;C;rametto;151
Exp2;C;rametto;50
Exp2;C;rametto;145
Exp2;C;rametto;521
Exp2;T;rametto;205
Exp2;T;rametto;345
Exp2;T;rametto;278
Exp2;T;rametto;243
Exp2;T;rametto;513
Exp2;T;rametto;234
Exp2;C;rametto;267
Exp2;C;rametto;127
Exp2;C;rametto;161
Exp2;C;rametto;175
Exp2;C;rametto;137
Exp2;C;rametto;247
Exp2;T;rametto;131
Exp2;T;rametto;172
Exp2;T;rametto;239
Exp2;T;rametto;346
Exp2;T;rametto;301
Exp2;T;rametto;419
Exp2;C;rametto;407
Exp2;C;rametto;514
Exp2;C;rametto;314
Exp2;C;rametto;405
Exp2;C;rametto;262
Exp2;C;rametto;142
Exp2;T;rametto;430
Exp2;T;rametto;210
Exp2;T;rametto;202
Exp2;T;rametto;229
Exp2;T;rametto;411
Exp2;T;rametto;137
Exp2;C;rametto;156
Exp2;C;rametto;132
Exp2;C;rametto;113
Exp2;C;rametto;56
Exp2;C;rametto;163
Exp2;C;rametto;135
Exp3;T;rametto;178
Exp3;T;rametto;78
Exp3;T;rametto;0
Exp3;T;rametto;77
Exp3;T;rametto;86
Exp3;T;rametto;89
Exp3;C;rametto;272
Exp3;C;rametto;44
Exp3;C;rametto;126
Exp3;C;rametto;66
Exp3;C;rametto;41
Exp3;C;rametto;67
Exp3;T;rametto;142
Exp3;T;rametto;153
Exp3;T;rametto;11
Exp3;T;rametto;47
Exp3;T;rametto;47
Exp3;T;rametto;33
Exp3;C;rametto;120
Exp3;C;rametto;5
Exp3;C;rametto;0
Exp3;C;rametto;90
Exp3;C;rametto;77
Exp3;C;rametto;1
Exp3;T;rametto;107
Exp3;T;rametto;164
Exp3;T;rametto;235
Exp3;T;rametto;7
Exp3;T;rametto;128
Exp3;T;rametto;287
Exp3;C;rametto;38
Exp3;C;rametto;74
Exp3;C;rametto;226
Exp3;C;rametto;90
Exp3;C;rametto;4
Exp3;C;rametto;124
Exp3;T;rametto;109
Exp3;T;rametto;138
Exp3;T;rametto;83
Exp3;T;rametto;102
Exp3;T;rametto;0
Exp3;T;rametto;89
Exp3;C;rametto;170
Exp3;C;rametto;129
Exp3;C;rametto;129
Exp3;C;rametto;65
Exp3;C;rametto;145
Exp3;C;rametto;242
Exp3;T;rametto;323
Exp3;T;rametto;190
Exp3;T;rametto;213
Exp3;T;rametto;651
Exp3;T;rametto;148
Exp3;T;rametto;372
Exp3;C;rametto;110
Exp3;C;rametto;18
Exp3;C;rametto;13
Exp3;C;rametto;52
Exp3;C;rametto;129
Exp3;C;rametto;113
Exp4;T;rametto;77
Exp4;T;rametto;40
Exp4;T;rametto;73
Exp4;T;rametto;40
Exp4;T;rametto;13
Exp4;T;rametto;28
Exp4;C;rametto;54
Exp4;C;rametto;135
Exp4;C;rametto;168
Exp4;C;rametto;107
Exp4;C;rametto;63
Exp4;C;rametto;117
Exp4;T;rametto;46
Exp4;T;rametto;49
Exp4;T;rametto;63
Exp4;T;rametto;87
Exp4;T;rametto;35
Exp4;T;rametto;36
Exp4;C;rametto;32
Exp4;C;rametto;0
Exp4;C;rametto;110
Exp4;C;rametto;56
Exp4;C;rametto;209
Exp4;C;rametto;60
Exp4;T;rametto;7
Exp4;T;rametto;73
Exp4;T;rametto;73
Exp4;T;rametto;24
Exp4;T;rametto;36
Exp4;T;rametto;47
Exp4;C;rametto;295
Exp4;C;rametto;249
Exp4;C;rametto;0
Exp4;C;rametto;72
Exp4;C;rametto;309
Exp4;C;rametto;343
Exp4;T;rametto;286
