Trattamento;Tot_exp1;Tot_exp2;Tot_exp3;Tot_exp4;Tot_exp5;Tot_exp6;Tot_exp7;Tot_exp8
T;282;402;183;99;81;39;120;143
T;246;215;93;164;2;41;66;96
T;240;218;0;73;3;18;48;112
T;323;336;87;99;61;18;85;80
T;192;110;88;36;48;11;70;82
T;176;403;134;29;60;45;4;74
C;187;222;272;125;117;126;76;161
C;81;355;64;175;165;133;56;56
C;242;377;136;202;84;106;122;61
C;114;465;87;164;72;44;24;34
C;114;437;43;79;66;125;141;122
C;318;87;110;192;84;49;63;101
T;287;166;144;53;34;139;29;39
T;190;252;200;56;7;108;110;72
T;177;245;22;68;48;15;56;19
T;308;141;94;118;111;17;33;70
T;152;0;94;42;61;60;45;97
T;139;240;66;49;25;93;10;76
C;196;314;121;51;52;147;95;78
C;166;97;12;14;181;94;160;16
C;185;209;0;136;145;276;21;71
C;0;51;90;80;145;176;91;17
C;42;158;106;230;150;167;96;99
C;15;523;10;63;118;121;41;153
T;213;205;112;9;51;66;30;52
T;127;370;167;75;81;14;29;92
T;120;279;244;73;70;24;40;218
T;269;261;10;24;51;37;93;53
T;297;513;136;36;18;43;47;70
T;244;250;292;50;80;72;87;178
C;403;308;92;332;280;549;105;98
C;219;174;85;268;366;232;297;48
C;143;161;237;0;143;639;176;29
C;207;175;126;112;230;71;169;152
C;148;258;96;378;256;675;74;273
C;133;284;134;363;214;572;92;243
T;375;141;110;299;107;147;76;126
T;244;183;140;250;115;43;72;101
T;133;281;86;132;8;69;37;335
T;268;473;102;122;30;79;32;215
T;282;336;0;305;70;96;107;115
T;109;504;91;168;139;134;53;35
C;210;459;206;96;112;271;178;61
C;186;682;158;157;224;86;85;159
C;214;400;142;202;143;74;43;47
C;207;484;77;124;156;140;167;96
C;219;335;187;105;152;72;62;172
C;173;213;258;183;151;170;188;59
T;355;458;366;68;115;33;67;94
T;317;227;191;149;78;51;92;83
T;247;258;213;82;63;65;98;119
T;351;234;719;121;115;79;4;119
T;278;417;157;80;175;66;141;134
T;335;287;372;144;45;18;52;134
C;143;165;110;54;331;216;21;79
C;221;132;19;66;188;306;20;15
C;273;118;35;56;166;78;21;111
C;230;75;59;79;122;182;63;107
C;392;176;337;47;397;268;32;48
C;255;151;129;59;142;277;7;71
