Date;Trattato;Controllo;Abamectina
2021-06-08;282;187;0.005
2021-06-08;246;81;0.005
2021-06-08;240;242;0.005
2021-06-08;323;114;0.005
2021-06-08;192;114;0.005
2021-06-08;176;318;0.005
2021-06-08;287;196;0.005
2021-06-08;190;166;0.005
2021-06-08;177;185;0.005
2021-06-08;308;0;0.005
2021-06-08;152;42;0.005
2021-06-08;139;15;0.005
2021-06-08;213;403;0.005
2021-06-08;127;219;0.005
2021-06-08;120;143;0.005
2021-06-08;269;207;0.005
2021-06-08;297;148;0.005
2021-06-08;244;133;0.005
2021-06-08;375;210;0.005
2021-06-08;244;186;0.005
2021-06-08;133;214;0.005
2021-06-08;268;207;0.005
2021-06-08;282;219;0.005
2021-06-08;109;173;0.005
2021-06-08;355;143;0.005
2021-06-08;317;221;0.005
2021-06-08;247;273;0.005
2021-06-08;351;230;0.005
2021-06-08;278;392;0.005
2021-06-08;335;255;0.005
2021-06-23;402;222;0.01
2021-06-23;215;355;0.01
2021-06-23;218;377;0.01
2021-06-23;336;465;0.01
2021-06-23;110;437;0.01
2021-06-23;403;87;0.01
2021-06-23;166;314;0.01
2021-06-23;252;97;0.01
2021-06-23;245;209;0.01
2021-06-23;141;51;0.01
2021-06-23;0;158;0.01
2021-06-23;240;523;0.01
2021-06-23;205;308;0.01
2021-06-23;370;174;0.01
2021-06-23;279;161;0.01
2021-06-23;261;175;0.01
2021-06-23;513;258;0.01
2021-06-23;250;284;0.01
2021-06-23;141;459;0.01
2021-06-23;183;682;0.01
2021-06-23;281;400;0.01
2021-06-23;473;484;0.01
2021-06-23;336;335;0.01
2021-06-23;504;213;0.01
2021-06-23;458;165;0.01
2021-06-23;227;132;0.01
2021-06-23;258;118;0.01
2021-06-23;234;75;0.01
2021-06-23;417;176;0.01
2021-06-23;287;151;0.01
2021-07-08;183;272;0.146
2021-07-08;93;64;0.146
2021-07-08;0;136;0.146
2021-07-08;87;87;0.146
2021-07-08;88;43;0.146
2021-07-08;134;110;0.146
2021-07-08;144;121;0.146
2021-07-08;200;12;0.146
2021-07-08;22;0;0.146
2021-07-08;94;90;0.146
2021-07-08;94;106;0.146
2021-07-08;66;10;0.146
2021-07-08;112;92;0.146
2021-07-08;167;85;0.146
2021-07-08;244;237;0.146
2021-07-08;10;126;0.146
2021-07-08;136;96;0.146
2021-07-08;292;134;0.146
2021-07-08;110;206;0.146
2021-07-08;140;158;0.146
2021-07-08;86;142;0.146
2021-07-08;102;77;0.146
2021-07-08;0;187;0.146
2021-07-08;91;258;0.146
2021-07-08;366;110;0.146
2021-07-08;191;19;0.146
2021-07-08;213;35;0.146
2021-07-08;719;59;0.146
2021-07-08;157;337;0.146
2021-07-08;372;129;0.146
2021-07-23;99;125;0.062
2021-07-23;164;175;0.062
2021-07-23;73;202;0.062
2021-07-23;99;164;0.062
2021-07-23;36;79;0.062
2021-07-23;29;192;0.062
2021-07-23;53;51;0.062
